 , '}', ';', '$', ')', 'relop', 'if', 'addop', 'id', '(', '+', 'num', 'mulop', '-', 'int', 'float', 'while',
 EXPRESSION1, , \L , , \L , 'relop' SIMPLE_EXPRESSION , , , , , , , , , , , ,
 EXPRESSION4, , \L , , \L , 'relop' SIMPLE_EXPRESSION , , , , , , , , , , , ,
 EXPRESSION2, , \L , , \L , 'relop' SIMPLE_EXPRESSION , , , , , , , , , , , ,
 EXPRESSION3, , \L , , \L , 'relop' SIMPLE_EXPRESSION , , , , , , , , , , , ,
 ASSIGNMENT, , , , , , , , 'id' 'assign' EXPRESSION ';' , , , , , , , , ,
 SIGN, , , , , , , , SYNC, SYNC, '+' , SYNC, , '-' , , , ,
 DECLARATION, , , , , , , , , , , , , , 'int' 'id' ';' , 'float' 'id' ';' , ,
 FACTOR, , SYNC, , SYNC, SYNC, , SYNC, 'id' , '(' EXPRESSION ')' , , 'num' , SYNC, , , , ,
 TERM, , SYNC, , SYNC, SYNC, , SYNC, 'id' TERM' , '(' EXPRESSION ')' TERM' , , 'num' TERM' , , , , , ,
 TERM', , \L , , \L , \L , , \L , , , , , 'mulop' FACTOR TERM' , , , , ,
 SIMPLE_EXPRESSION, , SYNC, , SYNC, , , , 'id' TERM' SIMPLE_EXPRESSION' , '(' EXPRESSION ')' TERM' SIMPLE_EXPRESSION' , SIGN TERM SIMPLE_EXPRESSION' , 'num' TERM' SIMPLE_EXPRESSION' , , SIGN TERM SIMPLE_EXPRESSION' , , , ,
 WHILE, , , , , , , , , , , , , , , , 'while' '(' EXPRESSION ')' '{' STATEMENT '}' ,
 PRIMITIVE_TYPE, , , , , , , , , , , , , , 'int' , 'float' , ,
 EXPRESSION, , SYNC, , SYNC, , , , 'id' TERM' SIMPLE_EXPRESSION' EXPRESSION4 , '(' EXPRESSION ')' TERM' SIMPLE_EXPRESSION' EXPRESSION2 , SIGN TERM SIMPLE_EXPRESSION' EXPRESSION1 , 'num' TERM' SIMPLE_EXPRESSION' EXPRESSION3 , , SIGN TERM SIMPLE_EXPRESSION' EXPRESSION1 , , , ,
 IF, , , , , , 'if' '(' EXPRESSION ')' '{' STATEMENT '}' 'else' '{' STATEMENT '}' , , , , , , , , , , ,
 SIMPLE_EXPRESSION', , \L , , \L , \L , , 'addop' TERM SIMPLE_EXPRESSION' , , , , , , , , , ,
 STATEMENT, SYNC, , SYNC, , , 'if' '(' EXPRESSION ')' '{' STATEMENT '}' 'else' '{' STATEMENT '}' , , 'id' 'assign' EXPRESSION ';' , , , , , , 'int' 'id' ';' , 'float' 'id' ';' , 'while' '(' EXPRESSION ')' '{' STATEMENT '}' ,
 METHOD_BODY, , , SYNC, , , 'if' '(' EXPRESSION ')' '{' STATEMENT '}' 'else' '{' STATEMENT '}' STATEMENT_LIST' , , 'id' 'assign' EXPRESSION ';' STATEMENT_LIST' , , , , , , 'int' 'id' ';' STATEMENT_LIST' , 'float' 'id' ';' STATEMENT_LIST' , 'while' '(' EXPRESSION ')' '{' STATEMENT '}' STATEMENT_LIST' ,
 STATEMENT_LIST', , , \L , , , STATEMENT STATEMENT_LIST' , , STATEMENT STATEMENT_LIST' , , , , , , STATEMENT STATEMENT_LIST' , STATEMENT STATEMENT_LIST' , STATEMENT STATEMENT_LIST' ,
 STATEMENT_LIST, , , , , , 'if' '(' EXPRESSION ')' '{' STATEMENT '}' 'else' '{' STATEMENT '}' STATEMENT_LIST' , , 'id' 'assign' EXPRESSION ';' STATEMENT_LIST' , , , , , , 'int' 'id' ';' STATEMENT_LIST' , 'float' 'id' ';' STATEMENT_LIST' , 'while' '(' EXPRESSION ')' '{' STATEMENT '}' STATEMENT_LIST' ,
